antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'DoItYBks'}),frozenset({'CookBks'}),0.282,0.431,0.1875,0.6648936170212767,1.5426766056178114,0.06595800000000002,1.6979682539682543
"frozenset({'YouthBks', 'GeogBks', 'CookBks'})",frozenset({'ChildBks'}),0.097,0.423,0.083,0.8556701030927836,2.0228607638127274,0.041969000000000006,3.997785714285716
"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.1155,0.431,0.095,0.8225108225108225,1.908377778447384,0.0452195,3.2058292682926828
frozenset({'DoItYBks'}),frozenset({'ChildBks'}),0.282,0.423,0.184,0.6524822695035462,1.5425112754220949,0.06471400000000001,1.6603469387755103
"frozenset({'YouthBks', 'GeogBks', 'DoItYBks', 'ChildBks'})",frozenset({'CookBks'}),0.0565,0.431,0.051,0.9026548672566371,2.094326838182453,0.026648499999999995,5.845181818181815
frozenset({'ItalCook'}),frozenset({'ChildBks'}),0.1135,0.423,0.085,0.748898678414097,1.7704460482602766,0.03698950000000001,2.2978771929824564
"frozenset({'ArtBks', 'YouthBks'})",frozenset({'GeogBks'}),0.101,0.276,0.065,0.6435643564356436,2.331754914621897,0.037124,2.031222222222222
"frozenset({'ArtBks', 'DoItYBks', 'CookBks'})",frozenset({'ChildBks'}),0.1015,0.423,0.082,0.8078817733990148,1.9098859891229665,0.0390655,3.0033589743589744
"frozenset({'ArtBks', 'RefBks', 'CookBks'})",frozenset({'ChildBks'}),0.07,0.423,0.061,0.8714285714285713,2.060114826072273,0.03139,4.487777777777774
"frozenset({'ArtBks', 'RefBks'})",frozenset({'CookBks'}),0.0895,0.431,0.07,0.782122905027933,1.8146703132898678,0.03142550000000001,2.611564102564103
frozenset({'CookBks'}),frozenset({'ChildBks'}),0.431,0.423,0.256,0.5939675174013921,1.4041785281356787,0.073687,1.4210685714285713
"frozenset({'RefBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1105,0.423,0.094,0.8506787330316742,2.0110608345902463,0.0472585,3.8641515151515144
"frozenset({'ArtBks', 'DoItYBks', 'GeogBks'})",frozenset({'ChildBks'}),0.073,0.423,0.0595,0.815068493150685,1.9268758703325886,0.028621,3.1200740740740747
"frozenset({'ArtBks', 'GeogBks', 'CookBks'})",frozenset({'ChildBks'}),0.1035,0.423,0.0835,0.8067632850241547,1.9072418085677418,0.03971950000000001,2.985975000000002
"frozenset({'ArtBks', 'GeogBks'})",frozenset({'CookBks'}),0.1275,0.431,0.1035,0.8117647058823528,1.883444793230517,0.04854749999999999,3.022812499999998
"frozenset({'ArtBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.101,0.282,0.06,0.594059405940594,2.106593638087213,0.031518,1.768731707317073
"frozenset({'ArtBks', 'YouthBks'})",frozenset({'CookBks'}),0.101,0.431,0.081,0.8019801980198019,1.8607429188394475,0.037469,2.8734499999999987
"frozenset({'GeogBks', 'ItalCook'})",frozenset({'ChildBks'}),0.064,0.423,0.0525,0.8203125,1.93927304964539,0.025428,3.2111304347826084
frozenset({'RefBks'}),frozenset({'CookBks'}),0.2145,0.431,0.1525,0.710955710955711,1.649549213354318,0.06005049999999999,1.9685564516129033
"frozenset({'YouthBks', 'GeogBks', 'DoItYBks'})",frozenset({'CookBks'}),0.068,0.431,0.06,0.8823529411764705,2.0472226013375185,0.030691999999999997,4.836499999999994
"frozenset({'DoItYBks', 'RefBks'})",frozenset({'ChildBks'}),0.1055,0.423,0.09,0.8530805687203792,2.0167389331451044,0.0453735,3.927322580645162
"frozenset({'DoItYBks', 'CookBks'})",frozenset({'ChildBks'}),0.1875,0.423,0.146,0.7786666666666666,1.8408195429472025,0.0666875,2.606927710843373
"frozenset({'ArtBks', 'DoItYBks', 'GeogBks'})",frozenset({'CookBks'}),0.073,0.431,0.065,0.8904109589041097,2.065918698153387,0.033537000000000004,5.192125000000005
"frozenset({'ArtBks', 'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.06,0.431,0.0525,0.875,2.0301624129930396,0.02664,4.552
